,fitness,expression,depth,length
alpha_368,1.0263510851295274,"mul(max(open, high), mul(low, low))",2,7
alpha_383,1.0263506053626403,"mul(add(mul(high, low), high), low)",3,7
alpha_46,1.0263055662647327,"max(mul(mul(open, high), mul(open, close)), max(neg(low), inv(open)))",3,13
alpha_389,1.026182153020026,"neg(mul(mul(open, close), log(open)))",3,7
alpha_390,1.026182153020026,"abs(mul(log(open), mul(close, open)))",3,7
alpha_245,1.0261703415994798,"neg(mul(mul(low, low), max(low, open)))",3,8
alpha_395,1.0261673652765542,"add(mul(close, open), mul(low, close))",2,7
alpha_396,1.0261673652765542,"mul(max(low, close), add(low, open))",2,7
alpha_256,1.026152801284397,"mul(close, mul(neg(close), add(open, high)))",3,8
alpha_410,1.026085444802001,"sub(mul(open, close), max(volume, high))",2,7
alpha_411,1.026085444802001,"sub(max(volume, high), mul(open, close))",2,7
alpha_412,1.0260853774745684,"sub(mul(open, close), max(close, volume))",2,7
alpha_413,1.026077313649903,"inv(mul(abs(close), mul(close, open)))",3,7
alpha_73,1.0260719228720143,"mul(neg(mul(close, high)), mul(max(close, open), sqrt(open)))",3,11
alpha_423,1.0260648577256646,"mul(add(low, low), add(open, close))",2,7
alpha_420,1.0260648577256646,"neg(mul(abs(low), add(close, open)))",3,7
alpha_74,1.0260399330481615,"sub(mul(mul(close, open), low), mul(low, max(open, high)))",3,11
alpha_76,1.026039180043451,"sub(neg(neg(open)), mul(max(low, close), mul(open, low)))",3,11
alpha_102,1.0260391799897572,"max(mul(mul(low, close), open), mul(close, add(open, high)))",3,11
alpha_83,1.0260391799897572,"mul(max(max(high, high), mul(low, close)), neg(abs(open)))",3,11
alpha_103,1.026039179935111,"add(mul(add(open, open), mul(low, close)), max(low, high))",3,11
alpha_266,1.0260254621000382,"abs(mul(mul(high, low), add(close, low)))",3,8
alpha_426,1.026014098686726,"mul(add(close, open), add(close, open))",2,7
alpha_428,1.0260124928555188,"mul(mul(close, close), max(close, open))",2,7
alpha_146,1.0259939452535194,"mul(max(close, mul(close, low)), abs(add(high, open)))",3,10
alpha_436,1.025993503231984,"abs(sub(sqrt(volume), mul(close, open)))",3,7
alpha_442,1.025990957847045,"sub(mul(open, close), add(open, high))",2,7
alpha_445,1.0259907200561178,"sub(mul(open, close), add(high, close))",2,7
alpha_449,1.0259906923580537,"sub(mul(open, close), max(high, high))",2,7
alpha_452,1.0259906140227792,"add(sub(close, high), mul(close, open))",2,7
alpha_453,1.0259906140227792,"sub(sub(high, close), mul(close, open))",2,7
alpha_456,1.025990544915891,"sub(mul(open, close), add(open, open))",2,7
alpha_459,1.0259903762753009,"add(mul(open, close), sub(open, high))",2,7
alpha_461,1.0259903725347537,"sub(mul(close, open), max(close, open))",2,7
alpha_462,1.0259903287171224,"add(mul(close, open), div(high, volume))",2,7
